"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"01072","SHUTESBURY, MA",,"G",58,"G",211,"G",1321,17,"SHUTESBURY","MA","FRANKLIN"
"01073","SOUTHAMPTON, MA",,"H",941,"H",6701,"H",30512,115,"SOUTHAMPTON","MA","HAMPSHIRE"
"01074","SOUTH BARRE, MA",,"G",89,"G",457,"G",2241,9,"SOUTH BARRE","MA","WORCESTER"
"01075","SOUTH HADLEY, MA",,"G",4581,"G",34160,"G",140766,301,"SOUTH HADLEY","MA","HAMPSHIRE"
"01077","SOUTHWICK, MA",,"G",2012,"H",18890,"H",79246,211,"SOUTHWICK","MA","HAMPDEN"
"01079","THORNDIKE, MA",,"G",58,"G",477,"G",1946,12,"THORNDIKE","MA","HAMPDEN"
"01080","THREE RIVERS, MA",,"G",313,"G",2364,"G",9954,38,"THREE RIVERS","MA","HAMPDEN"
"01081","WALES, MA",,"G",40,"G",268,"G",1301,14,"WALES","MA","HAMPDEN"
"01082","WARE, MA",,"G",2291,"H",21846,"H",85973,171,"WARE","MA","HAMPSHIRE"
"01083","WARREN, MA",,"G",247,"G",2517,"G",10968,36,"WARREN","MA","WORCESTER"
"01084","WEST CHESTERFIELD, MA",,"G",36,"G",170,"G",718,5,"WEST CHESTERFIELD","MA","HAMPSHIRE"
"01085","WESTFIELD, MA",,"H",13704,"G",131219,"G",549700,845,"WESTFIELD","MA","HAMPDEN"
"01086","WESTFIELD, MA",,"H",824,"H",5554,"H",23959,17,"WESTFIELD","MA","HAMPDEN"
"01088","WEST HATFIELD, MA",,"G",316,"G",2611,"G",11443,30,"WEST HATFIELD","MA","HAMPSHIRE"
"01089","WEST SPRINGFIELD, MA",,"G",16152,"G",144015,"G",599320,986,"WEST SPRINGFIELD","MA","HAMPDEN"
"01090","WEST SPRINGFIELD, MA",,"G",81,"G",976,"G",4237,15,"WEST SPRINGFIELD","MA","HAMPDEN"
"01092","WEST WARREN, MA","B","S",0,"H",557,"H",2712,21,"WEST WARREN","MA","WORCESTER"
"01093","WHATELY, MA","F","S",0,"H",8066,"H",33422,29,"WHATELY","MA","FRANKLIN"
"01094","WHEELWRIGHT, MA","A","D",0,"D",0,"D",0,2,"WHEELWRIGHT","MA","WORCESTER"
"01095","WILBRAHAM, MA",,"H",3879,"H",32550,"H",151225,307,"WILBRAHAM","MA","HAMPDEN"
"01096","WILLIAMSBURG, MA",,"G",371,"G",2635,"G",12064,51,"WILLIAMSBURG","MA","HAMPSHIRE"
"01098","WORTHINGTON, MA",,"H",176,"G",1678,"H",7317,26,"WORTHINGTON","MA","HAMPSHIRE"
"01101","SPRINGFIELD, MA",,"H",966,"H",9037,"H",34314,28,"SPRINGFIELD","MA","HAMPDEN"
"01102","SPRINGFIELD, MA","H","S",0,"H",45353,"H",184410,19,"SPRINGFIELD","MA","HAMPDEN"
"01103","SPRINGFIELD, MA",,"G",6176,"G",58977,"G",268323,494,"SPRINGFIELD","MA","HAMPDEN"
"01104","SPRINGFIELD, MA",,"G",13971,"G",165645,"G",745793,528,"SPRINGFIELD","MA","HAMPDEN"
"01105","SPRINGFIELD, MA",,"G",5612,"G",46997,"G",192990,267,"SPRINGFIELD","MA","HAMPDEN"
"01106","LONGMEADOW, MA",,"H",3714,"H",27197,"G",126080,286,"LONGMEADOW","MA","HAMPDEN"
"01107","SPRINGFIELD, MA",,"G",2235,"G",30101,"G",142258,143,"SPRINGFIELD","MA","HAMPDEN"
"01108","SPRINGFIELD, MA",,"G",2552,"G",16636,"G",67920,271,"SPRINGFIELD","MA","HAMPDEN"
"01109","SPRINGFIELD, MA",,"G",9445,"G",72133,"G",289523,285,"SPRINGFIELD","MA","HAMPDEN"
"01111","SPRINGFIELD, MA","H","D",0,"D",0,"D",0,8,"SPRINGFIELD","MA","HAMPDEN"
"01115","SPRINGFIELD, MA",,"G",691,"G",38162,"G",101721,48,"SPRINGFIELD","MA","HAMPDEN"
"01116","LONGMEADOW, MA",,"G",4,"H",33,"G",140,3,"LONGMEADOW","MA","HAMPDEN"
"01118","SPRINGFIELD, MA",,"G",1519,"G",12032,"G",49985,138,"SPRINGFIELD","MA","HAMPDEN"
"01119","SPRINGFIELD, MA",,"G",3819,"G",21652,"G",93498,150,"SPRINGFIELD","MA","HAMPDEN"
"01128","SPRINGFIELD, MA",,"G",822,"G",4008,"G",16785,48,"SPRINGFIELD","MA","HAMPDEN"
"01129","SPRINGFIELD, MA",,"G",2769,"G",17079,"G",66463,164,"SPRINGFIELD","MA","HAMPDEN"
"01138","SPRINGFIELD, MA",,"G",24,"G",114,"G",763,9,"SPRINGFIELD","MA","HAMPDEN"
"01139","SPRINGFIELD, MA","C","D",0,"D",0,"D",0,2,"SPRINGFIELD","MA","HAMPDEN"
"01144","SPRINGFIELD, MA",,"G",1129,"G",22391,"G",89133,44,"SPRINGFIELD","MA","HAMPDEN"
"01151","INDIAN ORCHARD, MA",,"G",1772,"G",21540,"G",106101,143,"INDIAN ORCHARD","MA","HAMPDEN"
"01152","SPRINGFIELD, MA","A","D",0,"D",0,"D",0,1,"SPRINGFIELD","MA","HAMPDEN"
"01199","SPRINGFIELD, MA","I","D",0,"D",0,"D",0,3,"SPRINGFIELD","MA","HAMPDEN"
"01201","PITTSFIELD, MA",,"G",22465,"G",260248,"G",1052122,1284,"PITTSFIELD","MA","BERKSHIRE"
"01202","PITTSFIELD, MA",,"H",474,"S",0,"H",25517,26,"PITTSFIELD","MA","BERKSHIRE"
"01203","PITTSFIELD, MA","A","D",0,"D",0,"D",0,1,"PITTSFIELD","MA","BERKSHIRE"
"01220","ADAMS, MA",,"G",1588,"G",13443,"G",55890,154,"ADAMS","MA","BERKSHIRE"
"01222","ASHLEY FALLS, MA",,"G",36,"G",253,"G",1459,13,"ASHLEY FALLS","MA","BERKSHIRE"
"01223","BECKET, MA",,"G",280,"G",2085,"G",12565,43,"BECKET","MA","BERKSHIRE"
"01224","BERKSHIRE, MA",,"G",24,"G",180,"G",789,4,"BERKSHIRE","MA","BERKSHIRE"
"01225","CHESHIRE, MA",,"H",352,"H",3031,"H",14363,51,"CHESHIRE","MA","BERKSHIRE"
"01226","DALTON, MA",,"G",1440,"G",20212,"G",71553,121,"DALTON","MA","BERKSHIRE"
"01227","DALTON, MA",,"G",41,"G",301,"G",1924,5,"DALTON","MA","BERKSHIRE"
"01229","GLENDALE, MA","A","S",0,"S",0,"H",713,3,"GLENDALE","MA","BERKSHIRE"
"01230","GREAT BARRINGTON, MA",,"G",4997,"G",38980,"G",170289,419,"GREAT BARRINGTON","MA","BERKSHIRE"
"01235","HINSDALE, MA","C","S",0,"H",1365,"H",7142,47,"HINSDALE","MA","BERKSHIRE"
"01236","HOUSATONIC, MA","E","S",0,"H",3230,"H",13799,38,"HOUSATONIC","MA","BERKSHIRE"
"01237","LANESBORO, MA",,"G",1940,"G",9293,"G",36625,148,"LANESBORO","MA","BERKSHIRE"
"01238","LEE, MA",,"G",3202,"G",22712,"G",95856,282,"LEE","MA","BERKSHIRE"
"01240","LENOX, MA",,"G",3421,"G",23518,"G",104860,248,"LENOX","MA","BERKSHIRE"
"01242","LENOX DALE, MA","C","S",0,"H",757,"H",3547,18,"LENOX DALE","MA","BERKSHIRE"
"01243","MIDDLEFIELD, MA",,"G",29,"G",153,"G",633,5,"MIDDLEFIELD","MA","HAMPSHIRE"
"01244","MILL RIVER, MA",,"G",3,"S",0,"G",231,4,"MILL RIVER","MA","BERKSHIRE"
"01245","MONTEREY, MA","C","D",0,"D",0,"D",0,23,"MONTEREY","MA","BERKSHIRE"
"01247","NORTH ADAMS, MA",,"G",4420,"G",37203,"G",151196,345,"NORTH ADAMS","MA","BERKSHIRE"
"01252","NORTH EGREMONT, MA",,"G",3,"G",32,"G",240,4,"NORTH EGREMONT","MA","BERKSHIRE"
"01253","OTIS, MA","C","S",0,"G",721,"G",3014,33,"OTIS","MA","BERKSHIRE"
"01254","RICHMOND, MA","B","S",0,"G",422,"G",2182,34,"RICHMOND","MA","BERKSHIRE"
"01255","SANDISFIELD, MA","C","S",0,"H",863,"H",3993,18,"SANDISFIELD","MA","BERKSHIRE"
"01256","SAVOY, MA",,"G",16,"G",124,"G",571,5,"SAVOY","MA","BERKSHIRE"
"01257","SHEFFIELD, MA",,"G",983,"H",10115,"H",44023,112,"SHEFFIELD","MA","BERKSHIRE"
"01258","SOUTH EGREMONT, MA",,"H",409,"G",1782,"G",6363,35,"SOUTH EGREMONT","MA","BERKSHIRE"
"01259","SOUTHFIELD, MA","B","S",0,"S",0,"H",2784,25,"SOUTHFIELD","MA","BERKSHIRE"
"01260","SOUTH LEE, MA",,"G",482,"G",5548,"G",22009,14,"SOUTH LEE","MA","BERKSHIRE"
"01262","STOCKBRIDGE, MA",,"G",1409,"G",12316,"G",50048,83,"STOCKBRIDGE","MA","BERKSHIRE"
"01264","TYRINGHAM, MA","A","D",0,"D",0,"D",0,1,"TYRINGHAM","MA","BERKSHIRE"
"01266","WEST STOCKBRIDGE, MA",,"G",129,"G",909,"G",5148,46,"WEST STOCKBRIDGE","MA","BERKSHIRE"
"01267","WILLIAMSTOWN, MA",,"G",3371,"G",39581,"G",161280,218,"WILLIAMSTOWN","MA","BERKSHIRE"
"01270","WINDSOR, MA",,"G",16,"G",164,"G",874,7,"WINDSOR","MA","BERKSHIRE"
"01301","GREENFIELD, MA",,"G",7854,"G",64009,"G",271182,563,"GREENFIELD","MA","FRANKLIN"
"01302","GREENFIELD, MA",,"G",423,"G",5353,"G",21368,21,"GREENFIELD","MA","FRANKLIN"
"01330","ASHFIELD, MA",,"G",141,"G",1038,"G",4381,32,"ASHFIELD","MA","FRANKLIN"
"01331","ATHOL, MA",,"H",3110,"H",26219,"H",107798,201,"ATHOL","MA","WORCESTER"
"01337","BERNARDSTON, MA",,"G",399,"H",2621,"G",12788,45,"BERNARDSTON","MA","FRANKLIN"
"01338","BUCKLAND, MA",,"H",130,"H",544,"H",2179,15,"BUCKLAND","MA","FRANKLIN"
"01339","CHARLEMONT, MA",,"H",259,"G",1201,"G",4681,26,"CHARLEMONT","MA","FRANKLIN"
"01340","COLRAIN, MA",,"H",99,"H",838,"H",3616,16,"COLRAIN","MA","FRANKLIN"
"01341","CONWAY, MA",,"H",112,"H",806,"H",3682,24,"CONWAY","MA","FRANKLIN"
"01342","DEERFIELD, MA",,"G",837,"G",7693,"G",32477,27,"DEERFIELD","MA","FRANKLIN"
"01343","DRURY, MA","A","D",0,"D",0,"D",0,1,"DRURY","MA","BERKSHIRE"
"01344","ERVING, MA",,"G",217,"H",2054,"H",9515,18,"ERVING","MA","FRANKLIN"
"01346","HEATH, MA",,"G",7,"G",46,"G",231,4,"HEATH","MA","FRANKLIN"
"01347","LAKE PLEASANT, MA","A","D",0,"D",0,"D",0,1,"LAKE PLEASANT","MA","FRANKLIN"
"01349","MILLERS FALLS, MA",,"G",24,"G",75,"G",360,10,"MILLERS FALLS","MA","FRANKLIN"
"01350","MONROE BRIDGE, MA","B","D",0,"D",0,"D",0,3,"MONROE BRIDGE","MA","FRANKLIN"
"01351","MONTAGUE, MA",,"G",115,"G",706,"G",3117,31,"MONTAGUE","MA","FRANKLIN"
"01354","GILL, MA",,"H",250,"H",1299,"H",6036,23,"GILL","MA","FRANKLIN"
"01355","NEW SALEM, MA","B","D",0,"D",0,"D",0,16,"NEW SALEM","MA","FRANKLIN"
"01360","NORTHFIELD, MA",,"H",722,"G",8254,"G",31320,54,"NORTHFIELD","MA","FRANKLIN"
"01364","ORANGE, MA",,"G",1457,"G",11125,"G",48344,132,"ORANGE","MA","FRANKLIN"
"01366","PETERSHAM, MA",,"G",56,"G",336,"G",1447,24,"PETERSHAM","MA","WORCESTER"
"01367","ROWE, MA",,"H",130,"H",1703,"H",6387,8,"ROWE","MA","FRANKLIN"
"01368","ROYALSTON, MA","B","S",0,"S",0,"H",618,8,"ROYALSTON","MA","WORCESTER"
"01370","SHELBURNE FALLS, MA",,"G",560,"G",3557,"G",15816,122,"SHELBURNE FALLS","MA","FRANKLIN"
"01373","SOUTH DEERFIELD, MA",,"H",2902,"H",38341,"H",148175,139,"SOUTH DEERFIELD","MA","FRANKLIN"
"01375","SUNDERLAND, MA",,"G",532,"H",5266,"H",32271,49,"SUNDERLAND","MA","FRANKLIN"
"01376","TURNERS FALLS, MA",,"G",1650,"G",15072,"G",61670,102,"TURNERS FALLS","MA","FRANKLIN"
"01378","WARWICK, MA","A","S",0,"H",55,"G",262,4,"WARWICK","MA","FRANKLIN"
"01379","WENDELL, MA",,"G",19,"G",54,"G",237,10,"WENDELL","MA","FRANKLIN"
"01380","WENDELL DEPOT, MA","A","D",0,"D",0,"D",0,2,"WENDELL DEPOT","MA","FRANKLIN"
"01420","FITCHBURG, MA",,"G",10022,"G",81977,"G",340182,740,"FITCHBURG","MA","WORCESTER"
"01430","ASHBURNHAM, MA",,"G",677,"H",5288,"H",22765,94,"ASHBURNHAM","MA","WORCESTER"
"01431","ASHBY, MA","C","S",0,"G",1132,"G",5301,53,"ASHBY","MA","MIDDLESEX"
"01432","AYER, MA",,"G",4435,"G",49696,"G",208016,238,"AYER","MA","MIDDLESEX"
"01434","DEVENS, MA",,"H",2210,"H",40777,"H",167207,74,"DEVENS","MA","MIDDLESEX"
"01436","BALDWINVILLE, MA","E","D",0,"D",0,"D",0,27,"BALDWINVILLE","MA","WORCESTER"
"01438","EAST TEMPLETON, MA","C","D",0,"D",0,"D",0,21,"EAST TEMPLETON","MA","WORCESTER"
"01440","GARDNER, MA",,"G",6559,"G",54135,"G",230956,405,"GARDNER","MA","WORCESTER"
"01441","WESTMINSTER, MA","F","D",0,"D",0,"D",0,10,"WESTMINSTER","MA","WORCESTER"
"01450","GROTON, MA",,"G",1743,"G",16179,"G",69912,203,"GROTON","MA","MIDDLESEX"
"01451","HARVARD, MA",,"H",644,"G",8121,"G",38548,139,"HARVARD","MA","WORCESTER"
"01452","HUBBARDSTON, MA",,"G",315,"G",2216,"G",9380,53,"HUBBARDSTON","MA","WORCESTER"
"01453","LEOMINSTER, MA",,"G",15156,"G",124980,"G",535585,1091,"LEOMINSTER","MA","WORCESTER"
"01460","LITTLETON, MA",,"G",6911,"G",159765,"G",646900,303,"LITTLETON","MA","MIDDLESEX"
"01462","LUNENBURG, MA",,"G",1724,"G",14891,"G",68237,199,"LUNENBURG","MA","WORCESTER"
"01463","PEPPERELL, MA",,"G",1232,"G",10202,"G",47013,206,"PEPPERELL","MA","MIDDLESEX"
"01464","SHIRLEY, MA",,"G",1253,"H",13847,"H",66826,117,"SHIRLEY","MA","MIDDLESEX"
"01467","STILL RIVER, MA","B","S",0,"H",175,"H",952,9,"STILL RIVER","MA","WORCESTER"
"01468","TEMPLETON, MA",,"G",261,"G",2073,"G",8667,52,"TEMPLETON","MA","WORCESTER"
"01469","TOWNSEND, MA",,"G",1342,"G",10851,"G",44770,123,"TOWNSEND","MA","MIDDLESEX"
"01471","GROTON, MA","E","D",0,"D",0,"D",0,5,"GROTON","MA","MIDDLESEX"
"01472","WEST GROTON, MA",,"G",316,"G",3424,"G",14660,9,"WEST GROTON","MA","MIDDLESEX"
"01473","WESTMINSTER, MA",,"G",1445,"G",15189,"G",66355,149,"WESTMINSTER","MA","WORCESTER"
"01474","WEST TOWNSEND, MA",,"G",97,"G",717,"G",3309,23,"WEST TOWNSEND","MA","MIDDLESEX"
"01475","WINCHENDON, MA",,"G",1151,"G",7611,"G",32011,148,"WINCHENDON","MA","WORCESTER"
"01477","WINCHENDON SPRINGS, MA","A","D",0,"D",0,"D",0,2,"WINCHENDON SPRINGS","MA","WORCESTER"
"01501","AUBURN, MA",,"G",10609,"G",100921,"G",435055,607,"AUBURN","MA","WORCESTER"
"01503","BERLIN, MA",,"G",338,"G",2731,"G",13277,80,"BERLIN","MA","WORCESTER"
"01504","BLACKSTONE, MA",,"G",725,"G",5704,"G",24893,128,"BLACKSTONE","MA","WORCESTER"
"01505","BOYLSTON, MA",,"G",1253,"G",13654,"G",59489,125,"BOYLSTON","MA","WORCESTER"
"01506","BROOKFIELD, MA",,"G",261,"H",1273,"H",6008,43,"BROOKFIELD","MA","WORCESTER"
"01507","CHARLTON, MA",,"G",2656,"G",26354,"G",110954,227,"CHARLTON","MA","WORCESTER"
"01508","CHARLTON CITY, MA",,"H",371,"H",1477,"H",7509,23,"CHARLTON CITY","MA","WORCESTER"
"01509","CHARLTON DEPOT, MA",,"G",14,"G",146,"G",860,4,"CHARLTON DEPOT","MA","WORCESTER"
"01510","CLINTON, MA",,"G",3567,"G",36609,"G",153713,261,"CLINTON","MA","WORCESTER"
"01515","EAST BROOKFIELD, MA","E","D",0,"D",0,"D",0,43,"EAST BROOKFIELD","MA","WORCESTER"
"01516","DOUGLAS, MA",,"G",684,"G",6145,"G",27465,120,"DOUGLAS","MA","WORCESTER"
"01518","FISKDALE, MA",,"G",470,"G",4519,"G",17794,57,"FISKDALE","MA","WORCESTER"
"01519","GRAFTON, MA","G","D",0,"D",0,"D",0,89,"GRAFTON","MA","WORCESTER"
"01520","HOLDEN, MA",,"G",2757,"G",23684,"G",106501,270,"HOLDEN","MA","WORCESTER"
"01521","HOLLAND, MA",,"G",75,"G",533,"G",2215,22,"HOLLAND","MA","HAMPDEN"
"01522","JEFFERSON, MA",,"H",92,"G",559,"G",3164,32,"JEFFERSON","MA","WORCESTER"
"01523","LANCASTER, MA",,"G",1869,"G",20093,"G",79592,119,"LANCASTER","MA","WORCESTER"
"01524","LEICESTER, MA",,"G",1312,"G",8112,"G",33208,103,"LEICESTER","MA","WORCESTER"
"01525","LINWOOD, MA",,"H",214,"G",2012,"G",8612,23,"LINWOOD","MA","WORCESTER"
"01526","MANCHAUG, MA",,"G",46,"G",391,"G",1630,9,"MANCHAUG","MA","WORCESTER"
"01527","MILLBURY, MA",,"G",4558,"G",36412,"G",155171,288,"MILLBURY","MA","WORCESTER"
"01529","MILLVILLE, MA",,"H",88,"G",554,"G",2435,32,"MILLVILLE","MA","WORCESTER"
"01531","NEW BRAINTREE, MA","B","S",0,"G",138,"H",1005,16,"NEW BRAINTREE","MA","WORCESTER"
"01532","NORTHBOROUGH, MA",,"G",7712,"G",79762,"G",330475,492,"NORTHBOROUGH","MA","WORCESTER"
"01534","NORTHBRIDGE, MA",,"G",765,"G",6387,"G",26209,55,"NORTHBRIDGE","MA","WORCESTER"
"01535","NORTH BROOKFIELD, MA",,"G",760,"G",6740,"G",28683,71,"NORTH BROOKFIELD","MA","WORCESTER"
"01536","NORTH GRAFTON, MA",,"H",1878,"H",28188,"H",113644,140,"NORTH GRAFTON","MA","WORCESTER"
"01537","NORTH OXFORD, MA",,"G",762,"G",7033,"G",30512,62,"NORTH OXFORD","MA","WORCESTER"
"01538","NORTH UXBRIDGE, MA","C","D",0,"D",0,"D",0,15,"NORTH UXBRIDGE","MA","WORCESTER"
"01540","OXFORD, MA",,"H",3753,"H",45399,"H",186787,217,"OXFORD","MA","WORCESTER"
"01541","PRINCETON, MA",,"G",956,"G",4184,"G",17435,70,"PRINCETON","MA","WORCESTER"
"01542","ROCHDALE, MA",,"H",417,"H",4661,"H",17032,32,"ROCHDALE","MA","WORCESTER"
"01543","RUTLAND, MA",,"G",860,"H",6397,"H",29175,116,"RUTLAND","MA","WORCESTER"
"01545","SHREWSBURY, MA",,"G",10460,"G",104503,"G",438637,783,"SHREWSBURY","MA","WORCESTER"
"01546","SHREWSBURY, MA","A","D",0,"D",0,"D",0,1,"SHREWSBURY","MA","WORCESTER"
"01550","SOUTHBRIDGE, MA",,"G",4960,"G",47860,"G",194724,341,"SOUTHBRIDGE","MA","WORCESTER"
"01560","SOUTH GRAFTON, MA",,"G",301,"G",3182,"G",13715,64,"SOUTH GRAFTON","MA","WORCESTER"
"01561","SOUTH LANCASTER, MA",,"G",577,"G",5774,"G",22264,28,"SOUTH LANCASTER","MA","WORCESTER"
"01562","SPENCER, MA",,"H",2693,"H",27171,"H",112712,216,"SPENCER","MA","WORCESTER"
"01564","STERLING, MA",,"G",2273,"G",21183,"G",86415,192,"STERLING","MA","WORCESTER"
"01566","STURBRIDGE, MA",,"G",3530,"G",23781,"G",104179,242,"STURBRIDGE","MA","WORCESTER"
"01568","UPTON, MA",,"G",697,"G",6127,"G",29536,158,"UPTON","MA","WORCESTER"
"01569","UXBRIDGE, MA",,"G",3189,"G",28858,"G",131825,267,"UXBRIDGE","MA","WORCESTER"
"01570","WEBSTER, MA",,"G",6053,"H",62597,"H",240200,366,"WEBSTER","MA","WORCESTER"
"01571","DUDLEY, MA",,"G",2367,"G",22182,"G",87132,157,"DUDLEY","MA","WORCESTER"
"01581","WESTBOROUGH, MA",,"G",23368,"G",373939,"G",1459265,935,"WESTBOROUGH","MA","WORCESTER"
"01583","WEST BOYLSTON, MA",,"G",2510,"G",22619,"G",95892,234,"WEST BOYLSTON","MA","WORCESTER"
"01585","WEST BROOKFIELD, MA",,"G",760,"G",6715,"G",27599,88,"WEST BROOKFIELD","MA","WORCESTER"
"01588","WHITINSVILLE, MA",,"G",2817,"G",25481,"G",102833,203,"WHITINSVILLE","MA","WORCESTER"
"01590","SUTTON, MA",,"G",1930,"G",17633,"G",78074,144,"SUTTON","MA","WORCESTER"
"01601","WORCESTER, MA",,"G",253,"G",2356,"G",9929,8,"WORCESTER","MA","WORCESTER"
"01602","WORCESTER, MA",,"G",2545,"G",19053,"G",78100,290,"WORCESTER","MA","WORCESTER"
"01603","WORCESTER, MA",,"G",6413,"G",57742,"G",230917,382,"WORCESTER","MA","WORCESTER"
"01604","WORCESTER, MA",,"G",16118,"H",202155,"H",852833,729,"WORCESTER","MA","WORCESTER"
"01605","WORCESTER, MA",,"H",20715,"H",285101,"H",1178934,571,"WORCESTER","MA","WORCESTER"
"01606","WORCESTER, MA",,"G",10258,"H",114358,"G",463282,438,"WORCESTER","MA","WORCESTER"
"01607","WORCESTER, MA",,"G",2456,"G",21385,"G",94367,143,"WORCESTER","MA","WORCESTER"
"01608","WORCESTER, MA",,"G",10330,"G",149937,"G",603072,516,"WORCESTER","MA","WORCESTER"
"01609","WORCESTER, MA",,"G",9978,"G",81062,"G",347278,502,"WORCESTER","MA","WORCESTER"
